year,province,name,gender,count,rank,total_count
2024,Adana,Alparslan,Erkek,206,1,13553
2024,Adana,Aslan,Erkek,167,2,13553
2024,Adana,Yusuf,Erkek,155,3,13553
2024,Adana,Göktuğ,Erkek,144,4,13553
2024,Adana,Ömer Asaf,Erkek,126,5,13553
2024,Adana,Eymen,Erkek,122,6,13553
2024,Adana,Ömer,Erkek,122,6,13553
2024,Adana,Miran,Erkek,121,7,13553
2024,Adana,Aras,Erkek,119,8,13553
2024,Adana,Kerem,Erkek,119,8,13553
2024,Adana,Metehan,Erkek,119,8,13553
2024,Adana,Atlas,Erkek,103,9,13553
2024,Adana,Mustafa,Erkek,103,9,13553
2024,Adana,Ali Asaf,Erkek,95,10,13553
2024,Adana,Ahmet,Erkek,93,11,13553
2024,Adana,Ali,Erkek,92,12,13553
2024,Adana,Mehmet,Erkek,92,12,13553
2024,Adana,Miraç,Erkek,89,13,13553
2024,Adana,Poyraz,Erkek,80,14,13553
2024,Adana,Muhammed Ali,Erkek,76,15,13553
2024,Adana,Yiğit,Erkek,73,16,13553
2024,Adana,Kuzey,Erkek,72,17,13553
2024,Adana,İbrahim,Erkek,71,18,13553
2024,Adana,Ayaz,Erkek,71,18,13553
2024,Adana,Çınar,Erkek,68,19,13553
2024,Adana,Muhammed,Erkek,68,19,13553
2024,Adana,Deniz,Erkek,66,20,13553
2024,Adana,Alperen,Erkek,66,20,13553
2024,Adana,Aybars,Erkek,66,20,13553
2024,Adana,Hamza,Erkek,65,21,13553
2024,Adana,Emir,Erkek,65,21,13553
2024,Adana,Umut,Erkek,61,22,13553
2024,Adana,Yunus Emre,Erkek,55,23,13553
2024,Adana,Karan,Erkek,55,23,13553
2024,Adana,Mert,Erkek,54,24,13553
2024,Adana,Halil İbrahim,Erkek,53,25,13553
2024,Adana,Ege,Erkek,52,26,13553
2024,Adana,Yağız,Erkek,52,26,13553
2024,Adana,Asil,Erkek,51,27,13553
2024,Adana,Rüzgar,Erkek,48,28,13553
2024,Adana,Uras,Erkek,44,29,13553
2024,Adana,Hasan,Erkek,43,30,13553
2024,Adana,Kıvanç,Erkek,43,30,13553
2024,Adıyaman,Yusuf,Erkek,73,1,4420
2024,Adıyaman,Ömer Asaf,Erkek,58,2,4420
2024,Adıyaman,Ömer,Erkek,52,3,4420
2024,Adıyaman,Alparslan,Erkek,48,4,4420
2024,Adıyaman,Miran,Erkek,44,5,4420
2024,Adıyaman,Muhammed,Erkek,43,6,4420
2024,Adıyaman,Muhammed Ali,Erkek,42,7,4420
2024,Adıyaman,Kerem,Erkek,41,8,4420
2024,Adıyaman,Ali Asaf,Erkek,35,9,4420
2024,Adıyaman,Ali,Erkek,34,10,4420
2024,Adıyaman,Mustafa,Erkek,34,10,4420
2024,Adıyaman,Ahmet,Erkek,33,11,4420
2024,Adıyaman,Ayaz,Erkek,33,11,4420
2024,Adıyaman,Aras,Erkek,29,12,4420
2024,Adıyaman,Eymen,Erkek,29,12,4420
2024,Adıyaman,Miraç,Erkek,29,12,4420
2024,Adıyaman,Metehan,Erkek,24,13,4420
2024,Adıyaman,Poyraz,Erkek,24,13,4420
2024,Adıyaman,Alperen,Erkek,23,14,4420
2024,Adıyaman,Mehmet,Erkek,23,14,4420
2024,Adıyaman,İbrahim,Erkek,22,15,4420
2024,Adıyaman,Muhammed Asaf,Erkek,22,15,4420
2024,Adıyaman,Hamza,Erkek,20,16,4420
2024,Adıyaman,Ömer Faruk,Erkek,20,16,4420
2024,Adıyaman,Mehmet Ali,Erkek,19,17,4420
2024,Adıyaman,Ramazan,Erkek,19,17,4420
2024,Adıyaman,Muhammed Efe,Erkek,18,18,4420
2024,Adıyaman,Umut,Erkek,18,18,4420
2024,Adıyaman,Muhammed Yusuf,Erkek,17,19,4420
2024,Adıyaman,Yiğit,Erkek,17,19,4420
2024,Adıyaman,Hasan,Erkek,16,20,4420
2024,Adıyaman,Emirhan,Erkek,16,20,4420
2024,Adıyaman,Furkan,Erkek,16,20,4420
2024,Adıyaman,Halil İbrahim,Erkek,16,20,4420
2024,Adıyaman,Muhammed Mustafa,Erkek,16,20,4420
2024,Adıyaman,Yiğit Ali,Erkek,16,20,4420
2024,Adıyaman,Baran,Erkek,15,21,4420
2024,Adıyaman,Berat,Erkek,15,21,4420
2024,Adıyaman,Hüseyin,Erkek,15,21,4420
2024,Adıyaman,Muhammed Emir,Erkek,15,21,4420
2024,Adıyaman,Ali Osman,Erkek,14,22,4420
2024,Adıyaman,Burak,Erkek,14,22,4420
2024,Adıyaman,Kerem Ali,Erkek,14,22,4420
2024,Adıyaman,Mert,Erkek,14,22,4420
2024,Adıyaman,Muhammed Emin,Erkek,14,22,4420
2024,Adıyaman,Muhammed Yiğit,Erkek,14,22,4420
2024,Adıyaman,Rüzgar,Erkek,14,22,4420
2024,Adıyaman,Abdullah,Erkek,13,23,4420
2024,Adıyaman,Göktuğ,Erkek,13,23,4420
2024,Adıyaman,Muhammed Aras,Erkek,13,23,4420
2024,Adıyaman,Talha,Erkek,13,23,4420
2024,Adıyaman,Yiğit Efe,Erkek,13,23,4420
2024,Adıyaman,Yunus Emre,Erkek,13,23,4420
2024,Adıyaman,Asaf,Erkek,12,24,4420
2024,Adıyaman,Çınar,Erkek,12,24,4420
2024,Adıyaman,Deniz,Erkek,12,24,4420
2024,Adıyaman,Emir,Erkek,12,24,4420
2024,Adıyaman,Miran Ali,Erkek,12,24,4420
2024,Adıyaman,Mirza,Erkek,12,24,4420
2024,Adıyaman,Osman,Erkek,12,24,4420
2024,Adıyaman,Yusuf Ali,Erkek,12,24,4420
2024,Adıyaman,Arda,Erkek,11,25,4420
2024,Adıyaman,Ertuğrul,Erkek,11,25,4420
2024,Adıyaman,Musa,Erkek,11,25,4420
2024,Adıyaman,Yağız,Erkek,11,25,4420
2024,Adıyaman,Yusuf Eymen,Erkek,11,25,4420
2024,Adıyaman,Atlas,Erkek,10,26,4420
2024,Adıyaman,Can,Erkek,10,26,4420
2024,Adıyaman,Ensar,Erkek,10,26,4420
2024,Adıyaman,Muhammed Mirza,Erkek,10,26,4420
2024,Adıyaman,Muhammed Salih,Erkek,10,26,4420
2024,Adıyaman,Abdurrahman,Erkek,9,27,4420
2024,Adıyaman,Eren,Erkek,9,27,4420
2024,Adıyaman,Miran Efe,Erkek,9,27,4420
2024,Adıyaman,Muhammed Eymen,Erkek,9,27,4420
2024,Adıyaman,Yaman,Erkek,9,27,4420
2024,Adıyaman,Yusuf Aras,Erkek,9,27,4420
2024,Adıyaman,Abdulkadir,Erkek,8,28,4420
2024,Adıyaman,Alpaslan,Erkek,8,28,4420
2024,Adıyaman,Aslan,Erkek,8,28,4420
2024,Adıyaman,Cihan,Erkek,8,28,4420
2024,Adıyaman,Ebubekir,Erkek,8,28,4420
2024,Adıyaman,Efe,Erkek,8,28,4420
2024,Adıyaman,Enes,Erkek,8,28,4420
2024,Adıyaman,Kaan,Erkek,8,28,4420
2024,Adıyaman,Mahir,Erkek,8,28,4420
2024,Adıyaman,Mahmut,Erkek,8,28,4420
2024,Adıyaman,Mert Ali,Erkek,8,28,4420
2024,Adıyaman,Muhammed Miran,Erkek,8,28,4420
2024,Adıyaman,Muhammed Saki,Erkek,8,28,4420
2024,Adıyaman,Ömer Ali,Erkek,8,28,4420
2024,Adıyaman,Taha,Erkek,8,28,4420
2024,Adıyaman,Yağız Efe,Erkek,8,28,4420
2024,Adıyaman,Yakup,Erkek,8,28,4420
2024,Adıyaman,Yiğit Aras,Erkek,8,28,4420
2024,Adıyaman,Adar,Erkek,7,29,4420
2024,Adıyaman,Adem,Erkek,7,29,4420
2024,Adıyaman,Devran,Erkek,7,29,4420
2024,Adıyaman,Doruk,Erkek,7,29,4420
2024,Adıyaman,Fatih,Erkek,7,29,4420
2024,Adıyaman,İbrahim Halil,Erkek,7,29,4420
2024,Adıyaman,Mehmet Aras,Erkek,7,29,4420
2024,Adıyaman,Muhammed Kerem,Erkek,7,29,4420
2024,Adıyaman,Muhammed Miraç,Erkek,7,29,4420
2024,Adıyaman,Muhammed Taha,Erkek,7,29,4420
2024,Adıyaman,Ömer Halis,Erkek,7,29,4420
2024,Adıyaman,Poyraz Efe,Erkek,7,29,4420
2024,Adıyaman,Serhat,Erkek,7,29,4420
2024,Adıyaman,Yağız Ali,Erkek,7,29,4420
2024,Adıyaman,Yasin,Erkek,7,29,4420
2024,Adıyaman,Muhammet,Erkek,6,30,4420
2024,Adıyaman,Ahmet Asaf,Erkek,6,30,4420
2024,Adıyaman,Ahmet Yusuf,Erkek,6,30,4420
2024,Adıyaman,Alaz,Erkek,6,30,4420
2024,Adıyaman,Ali Eren,Erkek,6,30,4420
2024,Adıyaman,Alihan,Erkek,6,30,4420
2024,Adıyaman,Berkay,Erkek,6,30,4420
2024,Adıyaman,Boran,Erkek,6,30,4420
2024,Adıyaman,Ege,Erkek,6,30,4420
2024,Adıyaman,Emre,Erkek,6,30,4420
2024,Adıyaman,Güney,Erkek,6,30,4420
2024,Adıyaman,Halil,Erkek,6,30,4420
2024,Adıyaman,İbrahim Efe,Erkek,6,30,4420
2024,Adıyaman,Karan,Erkek,6,30,4420
2024,Adıyaman,Mehmet Emin,Erkek,6,30,4420
2024,Adıyaman,Mehmet Selim,Erkek,6,30,4420
2024,Adıyaman,Muhammed Alparslan,Erkek,6,30,4420
2024,Adıyaman,Muhammed Fatih,Erkek,6,30,4420
2024,Adıyaman,Muhammed Furkan,Erkek,6,30,4420
2024,Adıyaman,Muhammed Talha,Erkek,6,30,4420
2024,Adıyaman,Musab,Erkek,6,30,4420
2024,Adıyaman,Yavuz,Erkek,6,30,4420
2024,Afyonkarahisar,Göktuğ,Erkek,77,1,4015
2024,Afyonkarahisar,Alparslan,Erkek,76,2,4015
2024,Afyonkarahisar,Metehan,Erkek,75,3,4015
2024,Afyonkarahisar,Mustafa,Erkek,46,4,4015
2024,Afyonkarahisar,Alperen,Erkek,42,5,4015
2024,Afyonkarahisar,Yusuf,Erkek,38,6,4015
2024,Afyonkarahisar,Ömer Asaf,Erkek,34,7,4015
2024,Afyonkarahisar,Mehmet,Erkek,33,8,4015
2024,Afyonkarahisar,Ahmet,Erkek,32,9,4015
2024,Afyonkarahisar,Eymen,Erkek,31,10,4015
2024,Afyonkarahisar,Aybars,Erkek,30,11,4015
2024,Afyonkarahisar,Kerem,Erkek,29,12,4015
2024,Afyonkarahisar,Ali,Erkek,26,13,4015
2024,Afyonkarahisar,Poyraz,Erkek,24,14,4015
2024,Afyonkarahisar,Yiğit,Erkek,24,14,4015
2024,Afyonkarahisar,İbrahim,Erkek,23,15,4015
2024,Afyonkarahisar,Ömer,Erkek,23,15,4015
2024,Afyonkarahisar,Miraç,Erkek,22,16,4015
2024,Afyonkarahisar,Mert,Erkek,20,17,4015
2024,Afyonkarahisar,Ayaz,Erkek,19,18,4015
2024,Afyonkarahisar,Ali Asaf,Erkek,17,19,4015
2024,Afyonkarahisar,Batuhan,Erkek,17,19,4015
2024,Afyonkarahisar,Çınar,Erkek,17,19,4015
2024,Afyonkarahisar,Aras,Erkek,15,20,4015
2024,Afyonkarahisar,Hüseyin,Erkek,15,20,4015
2024,Afyonkarahisar,İsmail,Erkek,15,20,4015
2024,Afyonkarahisar,Kuzey,Erkek,15,20,4015
2024,Afyonkarahisar,Muhammed Ali,Erkek,15,20,4015
2024,Afyonkarahisar,Ramazan,Erkek,15,20,4015
2024,Afyonkarahisar,Umut,Erkek,15,20,4015
2024,Afyonkarahisar,Kaan,Erkek,14,21,4015
2024,Afyonkarahisar,Osman,Erkek,14,21,4015
2024,Afyonkarahisar,Atlas,Erkek,13,22,4015
2024,Afyonkarahisar,Halil İbrahim,Erkek,13,22,4015
2024,Afyonkarahisar,Berkay,Erkek,12,23,4015
2024,Afyonkarahisar,Cihangir,Erkek,12,23,4015
2024,Afyonkarahisar,Eren,Erkek,12,23,4015
2024,Afyonkarahisar,Hamza,Erkek,12,23,4015
2024,Afyonkarahisar,Hasan,Erkek,12,23,4015
2024,Afyonkarahisar,Kağan,Erkek,12,23,4015
2024,Afyonkarahisar,Yunus Emre,Erkek,12,23,4015
2024,Afyonkarahisar,Aslan,Erkek,11,24,4015
2024,Afyonkarahisar,Barlas,Erkek,11,24,4015
2024,Afyonkarahisar,Mehmet Ali,Erkek,11,24,4015
2024,Afyonkarahisar,Mete,Erkek,11,24,4015
2024,Afyonkarahisar,Mevlüt,Erkek,11,24,4015
2024,Afyonkarahisar,Miraç Efe,Erkek,11,24,4015
2024,Afyonkarahisar,Muhammed Alparslan,Erkek,11,24,4015
2024,Afyonkarahisar,Murat,Erkek,11,24,4015
2024,Afyonkarahisar,Uras,Erkek,11,24,4015
2024,Afyonkarahisar,Yağız,Erkek,11,24,4015
2024,Afyonkarahisar,Talha,Erkek,10,25,4015
2024,Afyonkarahisar,Alper,Erkek,9,26,4015
2024,Afyonkarahisar,Arda,Erkek,9,26,4015
2024,Afyonkarahisar,Burak,Erkek,9,26,4015
2024,Afyonkarahisar,Ege,Erkek,9,26,4015
2024,Afyonkarahisar,Emirhan,Erkek,9,26,4015
2024,Afyonkarahisar,Furkan,Erkek,9,26,4015
2024,Afyonkarahisar,Mehmet Aras,Erkek,9,26,4015
2024,Afyonkarahisar,Muhammed,Erkek,9,26,4015
2024,Afyonkarahisar,Süleyman,Erkek,9,26,4015
2024,Afyonkarahisar,Uraz,Erkek,9,26,4015
2024,Afyonkarahisar,Abdullah,Erkek,8,27,4015
2024,Afyonkarahisar,Berat,Erkek,8,27,4015
2024,Afyonkarahisar,Deniz,Erkek,8,27,4015
2024,Afyonkarahisar,Doruk,Erkek,8,27,4015
2024,Afyonkarahisar,Hasan Hüseyin,Erkek,8,27,4015
2024,Afyonkarahisar,Mehmet Efe,Erkek,8,27,4015
2024,Afyonkarahisar,Oğuz Kağan,Erkek,8,27,4015
2024,Afyonkarahisar,Yiğit Efe,Erkek,8,27,4015
2024,Afyonkarahisar,Buğra,Erkek,7,28,4015
2024,Afyonkarahisar,Efe,Erkek,7,28,4015
2024,Afyonkarahisar,Emir,Erkek,7,28,4015
2024,Afyonkarahisar,Emir Asaf,Erkek,7,28,4015
2024,Afyonkarahisar,Gökalp,Erkek,7,28,4015
2024,Afyonkarahisar,Göktürk,Erkek,7,28,4015
2024,Afyonkarahisar,Kadir,Erkek,7,28,4015
2024,Afyonkarahisar,Kıvanç,Erkek,7,28,4015
2024,Afyonkarahisar,Metin,Erkek,7,28,4015
2024,Afyonkarahisar,Miraç Ege,Erkek,7,28,4015
2024,Afyonkarahisar,Muhammed Emin,Erkek,7,28,4015
2024,Afyonkarahisar,Poyraz Efe,Erkek,7,28,4015
2024,Afyonkarahisar,Recep,Erkek,7,28,4015
2024,Afyonkarahisar,Rüzgar,Erkek,7,28,4015
2024,Afyonkarahisar,Yavuz,Erkek,7,28,4015
2024,Afyonkarahisar,Adem,Erkek,6,29,4015
2024,Afyonkarahisar,Akın,Erkek,6,29,4015
2024,Afyonkarahisar,Alptuğ,Erkek,6,29,4015
2024,Afyonkarahisar,Ayberk,Erkek,6,29,4015
2024,Afyonkarahisar,Egehan,Erkek,6,29,4015
2024,Afyonkarahisar,Fatih,Erkek,6,29,4015
2024,Afyonkarahisar,Görkem,Erkek,6,29,4015
2024,Afyonkarahisar,Halil,Erkek,6,29,4015
2024,Afyonkarahisar,İsmail Efe,Erkek,6,29,4015
2024,Afyonkarahisar,Mahmut,Erkek,6,29,4015
2024,Afyonkarahisar,Mehmet Akif,Erkek,6,29,4015
2024,Afyonkarahisar,Mehmet Alp,Erkek,6,29,4015
2024,Afyonkarahisar,Mehmet Eren,Erkek,6,29,4015
2024,Afyonkarahisar,Mehmethan,Erkek,6,29,4015
2024,Afyonkarahisar,Muhammed Eren,Erkek,6,29,4015
2024,Afyonkarahisar,Muhammet,Erkek,6,29,4015
2024,Afyonkarahisar,Oğuz,Erkek,6,29,4015
2024,Afyonkarahisar,Oğuzhan,Erkek,6,29,4015
2024,Afyonkarahisar,Ramazan Efe,Erkek,6,29,4015
2024,Afyonkarahisar,Selim,Erkek,6,29,4015
2024,Afyonkarahisar,Yağız Alp,Erkek,6,29,4015
2024,Afyonkarahisar,Yakup,Erkek,6,29,4015
2024,Afyonkarahisar,Yaman,Erkek,6,29,4015
2024,Afyonkarahisar,Yılmaz,Erkek,6,29,4015
2024,Afyonkarahisar,Yiğit Aras,Erkek,6,29,4015
2024,Afyonkarahisar,Yusuf Eymen,Erkek,6,29,4015
2024,Afyonkarahisar,Akif,Erkek,5,30,4015
2024,Afyonkarahisar,Alihan,Erkek,5,30,4015
2024,Afyonkarahisar,Alpaslan,Erkek,5,30,4015
2024,Afyonkarahisar,Atakan,Erkek,5,30,4015
2024,Afyonkarahisar,Barış,Erkek,5,30,4015
2024,Afyonkarahisar,Beytullah,Erkek,5,30,4015
2024,Afyonkarahisar,Çağatay,Erkek,5,30,4015
2024,Afyonkarahisar,Ensar,Erkek,5,30,4015
2024,Afyonkarahisar,Fırat,Erkek,5,30,4015
2024,Afyonkarahisar,Halil Efe,Erkek,5,30,4015
2024,Afyonkarahisar,Karan,Erkek,5,30,4015
2024,Afyonkarahisar,Melikşah,Erkek,5,30,4015
2024,Afyonkarahisar,Muhammed Asaf,Erkek,5,30,4015
2024,Afyonkarahisar,Muhammed Talha,Erkek,5,30,4015
2024,Afyonkarahisar,Mustafa Ali,Erkek,5,30,4015
2024,Afyonkarahisar,Osman Efe,Erkek,5,30,4015
2024,Afyonkarahisar,Salih,Erkek,5,30,4015
2024,Afyonkarahisar,Yağız Ege,Erkek,5,30,4015
2024,Afyonkarahisar,Yavuz Selim,Erkek,5,30,4015
2024,Afyonkarahisar,Yusuf Emir,Erkek,5,30,4015
2024,Ağrı,Miran,Erkek,81,1,4443
2024,Ağrı,Ömer Asaf,Erkek,59,2,4443
2024,Ağrı,Eymen,Erkek,55,3,4443
2024,Ağrı,Halil İbrahim,Erkek,54,4,4443
2024,Ağrı,Yusuf,Erkek,52,5,4443
2024,Ağrı,Ali Asaf,Erkek,49,6,4443
2024,Ağrı,Muhammed,Erkek,44,7,4443
2024,Ağrı,Miraç,Erkek,38,8,4443
2024,Ağrı,Poyraz,Erkek,38,8,4443
2024,Ağrı,Ayaz,Erkek,35,9,4443
2024,Ağrı,Adar,Erkek,34,10,4443
2024,Ağrı,Muhammed Ali,Erkek,31,11,4443
2024,Ağrı,Aras,Erkek,30,12,4443
2024,Ağrı,Yiğit Efe,Erkek,25,13,4443
2024,Ağrı,Umut,Erkek,24,14,4443
2024,Ağrı,Muhammed Emin,Erkek,23,15,4443
2024,Ağrı,Yunus Emre,Erkek,23,15,4443
2024,Ağrı,Baran,Erkek,21,16,4443
2024,Ağrı,Muhammed Asaf,Erkek,21,16,4443
2024,Ağrı,Ali,Erkek,20,17,4443
2024,Ağrı,Hamza,Erkek,20,17,4443
2024,Ağrı,Yusuf Ali,Erkek,20,17,4443
2024,Ağrı,Emir,Erkek,19,18,4443
2024,Ağrı,Miran Ali,Erkek,19,18,4443
2024,Ağrı,Ömer,Erkek,19,18,4443
2024,Ağrı,Yiğit,Erkek,19,18,4443
2024,Ağrı,Ahmet,Erkek,18,19,4443
2024,Ağrı,Alparslan,Erkek,18,19,4443
2024,Ağrı,Asaf,Erkek,17,20,4443
2024,Ağrı,Çınar,Erkek,17,20,4443
2024,Ağrı,Devran,Erkek,17,20,4443
2024,Ağrı,Enes,Erkek,17,20,4443
2024,Ağrı,Metehan,Erkek,17,20,4443
2024,Ağrı,Muhammed Emir,Erkek,17,20,4443
2024,Ağrı,Yaman,Erkek,17,20,4443
2024,Ağrı,Bedirhan,Erkek,16,21,4443
2024,Ağrı,Miran Efe,Erkek,16,21,4443
2024,Ağrı,Mustafa,Erkek,16,21,4443
2024,Ağrı,Alperen,Erkek,15,22,4443
2024,Ağrı,Yiğit Ali,Erkek,14,23,4443
2024,Ağrı,Emir Asaf,Erkek,14,23,4443
2024,Ağrı,Bünyamin,Erkek,13,24,4443
2024,Ağrı,Muhammed Eymen,Erkek,13,24,4443
2024,Ağrı,Adem,Erkek,13,24,4443
2024,Ağrı,Musa,Erkek,13,24,4443
2024,Ağrı,Eren,Erkek,12,25,4443
2024,Ağrı,Abdullah,Erkek,12,25,4443
2024,Ağrı,Hasan,Erkek,12,25,4443
2024,Ağrı,İbrahim,Erkek,12,25,4443
2024,Ağrı,Muhammed Aras,Erkek,12,25,4443
2024,Ağrı,Şervan,Erkek,12,25,4443
2024,Ağrı,Eyüp,Erkek,12,25,4443
2024,Ağrı,Batuhan,Erkek,12,25,4443
2024,Ağrı,Berat,Erkek,12,25,4443
2024,Ağrı,Emirhan,Erkek,12,25,4443
2024,Ağrı,Yamaç,Erkek,11,26,4443
2024,Ağrı,Azat,Erkek,11,26,4443
2024,Ağrı,Burak,Erkek,11,26,4443
2024,Ağrı,Ensar,Erkek,11,26,4443
2024,Ağrı,Göktuğ,Erkek,11,26,4443
2024,Ağrı,Mert,Erkek,11,26,4443
2024,Ağrı,Mir Ali,Erkek,11,26,4443
2024,Ağrı,Mir Bedirhan,Erkek,11,26,4443
2024,Ağrı,Rüzgar,Erkek,11,26,4443
2024,Ağrı,Şiyar,Erkek,11,26,4443
2024,Ağrı,Taha,Erkek,11,26,4443
2024,Ağrı,Talha,Erkek,11,26,4443
2024,Ağrı,Kerem,Erkek,10,27,4443
2024,Ağrı,Ali İmran,Erkek,10,27,4443
2024,Ağrı,Atlas,Erkek,10,27,4443
2024,Ağrı,Diyar,Erkek,10,27,4443
2024,Ağrı,Emre,Erkek,10,27,4443
2024,Ağrı,Furkan,Erkek,10,27,4443
2024,Ağrı,Hazar,Erkek,10,27,4443
2024,Ağrı,İslam,Erkek,10,27,4443
2024,Ağrı,Muhammed Enes,Erkek,10,27,4443
2024,Ağrı,Muhammed Hamza,Erkek,10,27,4443
2024,Ağrı,Ömer Ali,Erkek,10,27,4443
2024,Ağrı,Yaman Ali,Erkek,10,27,4443
2024,Ağrı,Yusuf Eymen,Erkek,10,27,4443
2024,Ağrı,Yusuf İslam,Erkek,10,27,4443
2024,Ağrı,Arda,Erkek,9,28,4443
2024,Ağrı,Aslan,Erkek,9,28,4443
2024,Ağrı,Devrim,Erkek,9,28,4443
2024,Ağrı,Fırat,Erkek,9,28,4443
2024,Ağrı,Mirhan,Erkek,9,28,4443
2024,Ağrı,Muhammed Taha,Erkek,9,28,4443
2024,Ağrı,Selahattin,Erkek,9,28,4443
2024,Ağrı,Yiğit Alp,Erkek,9,28,4443
2024,Ağrı,Alpaslan,Erkek,8,29,4443
2024,Ağrı,Kerem Ali,Erkek,8,29,4443
2024,Ağrı,Miraç Efe,Erkek,8,29,4443
2024,Ağrı,Muhammed Efe,Erkek,8,29,4443
2024,Ağrı,Muhammed Mustafa,Erkek,8,29,4443
2024,Ağrı,Muhammed Yusuf,Erkek,8,29,4443
2024,Ağrı,Selim,Erkek,8,29,4443
2024,Ağrı,Yakup,Erkek,7,30,4443
2024,Ağrı,Ali Eymen,Erkek,7,30,4443
2024,Ağrı,Alper,Erkek,7,30,4443
2024,Ağrı,Aren,Erkek,7,30,4443
2024,Ağrı,Azad,Erkek,7,30,4443
2024,Ağrı,Baver,Erkek,7,30,4443
2024,Ağrı,Berzan,Erkek,7,30,4443
2024,Ağrı,Cihan,Erkek,7,30,4443
2024,Ağrı,Efe,Erkek,7,30,4443
2024,Ağrı,Hasan Ali,Erkek,7,30,4443
2024,Ağrı,Hüseyin,Erkek,7,30,4443
2024,Ağrı,Jiyan,Erkek,7,30,4443
2024,Ağrı,Mahir,Erkek,7,30,4443
2024,Ağrı,Mert Ali,Erkek,7,30,4443
2024,Ağrı,Mervan,Erkek,7,30,4443
2024,Ağrı,Muhammed Furkan,Erkek,7,30,4443
2024,Ağrı,Murat,Erkek,7,30,4443
2024,Ağrı,Poyraz Efe,Erkek,7,30,4443
2024,Ağrı,Yiğit Hamza,Erkek,7,30,4443
2024,Ağrı,Yunus,Erkek,7,30,4443
2024,Ağrı,Zeyd,Erkek,7,30,4443
2024,Aksaray,Göktuğ,Erkek,55,1,2764
2024,Aksaray,Alparslan,Erkek,51,2,2764
2024,Aksaray,Metehan,Erkek,37,3,2764
2024,Aksaray,Yusuf,Erkek,35,4,2764
2024,Aksaray,Mustafa,Erkek,29,5,2764
2024,Aksaray,Ömer,Erkek,24,6,2764
2024,Aksaray,Alperen,Erkek,21,7,2764
2024,Aksaray,Eymen,Erkek,20,8,2764
2024,Aksaray,Miraç,Erkek,20,8,2764
2024,Aksaray,Ömer Asaf,Erkek,20,8,2764
2024,Aksaray,Ali Asaf,Erkek,19,9,2764
2024,Aksaray,Mehmet,Erkek,19,9,2764
2024,Aksaray,Yiğit,Erkek,18,10,2764
2024,Aksaray,Ali,Erkek,17,11,2764
2024,Aksaray,Kerem,Erkek,17,11,2764
2024,Aksaray,Aras,Erkek,16,12,2764
2024,Aksaray,Ahmet,Erkek,15,13,2764
2024,Aksaray,Aslan,Erkek,14,14,2764
2024,Aksaray,Muhammed,Erkek,14,14,2764
2024,Aksaray,Muhammed Ali,Erkek,13,15,2764
2024,Aksaray,Hüseyin,Erkek,13,15,2764
2024,Aksaray,Hamza,Erkek,12,16,2764
2024,Aksaray,Osman,Erkek,12,16,2764
2024,Aksaray,Kaan,Erkek,12,16,2764
2024,Aksaray,Ayaz,Erkek,11,17,2764
2024,Aksaray,İbrahim,Erkek,11,17,2764
2024,Aksaray,Muhammed Emin,Erkek,11,17,2764
2024,Aksaray,Umut,Erkek,11,17,2764
2024,Aksaray,Enes,Erkek,10,18,2764
2024,Aksaray,Hasan,Erkek,10,18,2764
2024,Aksaray,İsmail,Erkek,10,18,2764
2024,Aksaray,Kuzey,Erkek,10,18,2764
2024,Aksaray,Yağız,Erkek,10,18,2764
2024,Aksaray,Aybars,Erkek,9,19,2764
2024,Aksaray,Egemen,Erkek,9,19,2764
2024,Aksaray,Gökalp,Erkek,9,19,2764
2024,Aksaray,Poyraz,Erkek,9,19,2764
2024,Aksaray,Abdullah,Erkek,8,20,2764
2024,Aksaray,Mert,Erkek,8,20,2764
2024,Aksaray,Muhammed Alparslan,Erkek,8,20,2764
2024,Aksaray,Süleyman,Erkek,8,20,2764
2024,Aksaray,Furkan,Erkek,7,21,2764
2024,Aksaray,Asaf,Erkek,7,21,2764
2024,Aksaray,Batuhan,Erkek,7,21,2764
2024,Aksaray,Cihangir,Erkek,7,21,2764
2024,Aksaray,Halil İbrahim,Erkek,7,21,2764
2024,Aksaray,Murat,Erkek,7,21,2764
2024,Aksaray,Alper,Erkek,6,22,2764
2024,Aksaray,Alihan,Erkek,6,22,2764
2024,Aksaray,Atlas,Erkek,6,22,2764
2024,Aksaray,Atlas Ege,Erkek,6,22,2764
2024,Aksaray,Çınar,Erkek,6,22,2764
2024,Aksaray,Emir,Erkek,6,22,2764
2024,Aksaray,Emir Asaf,Erkek,6,22,2764
2024,Aksaray,Kadir,Erkek,6,22,2764
2024,Aksaray,Mehmet Asaf,Erkek,6,22,2764
2024,Aksaray,Miraç Efe,Erkek,6,22,2764
2024,Aksaray,Ömer Halis,Erkek,6,22,2764
2024,Aksaray,Ramazan,Erkek,6,22,2764
2024,Aksaray,Talha,Erkek,6,22,2764
2024,Aksaray,Yağız Efe,Erkek,6,22,2764
2024,Aksaray,Yasin,Erkek,6,22,2764
2024,Aksaray,Yiğithan,Erkek,6,22,2764
2024,Aksaray,Yunus Emre,Erkek,6,22,2764
2024,Aksaray,Yusuf Eymen,Erkek,6,22,2764
2024,Aksaray,Halil Efe,Erkek,5,23,2764
2024,Aksaray,Yusuf Asaf,Erkek,5,23,2764
2024,Aksaray,Yiğit Hamza,Erkek,5,23,2764
2024,Aksaray,Yiğit Alp,Erkek,5,23,2764
